lambda_true,rep,estimator,route,lam_hat,se,lam_hat_q,n
0.0,0,censor 6-16,within,-0.1580896764063809,0.1205511371816529,0.04049248377765392,304
0.0,0,censor 6-16,within IV,0.37628028794427937,0.13290090865480025,0.5010017851170641,317
0.0,0,"flanks 3-6, 26-36",within,-0.19881600641917124,0.1582312153113571,0.011540510996363097,315
0.0,0,"flanks 3-6, 26-36",within IV,0.1774736840055424,0.18012998363524305,0.23968153665987352,330
0.0,1,censor 6-16,within,0.3072967761507006,0.14056304573650785,0.15987615557895277,297
0.0,1,censor 6-16,within IV,0.3030751221967816,0.15813404665883032,0.24027070964914796,297
0.0,1,"flanks 3-6, 26-36",within,-0.4954498850491405,0.16353564218440186,-0.3849186564379433,304
0.0,1,"flanks 3-6, 26-36",within IV,-0.17753236532856184,0.15270609170932684,-0.26545848970553027,307
0.0,2,censor 6-16,within,0.5536559790118518,0.15156518547715706,0.5156373186510798,296
0.0,2,censor 6-16,within IV,0.6774760157440752,0.15820862491781504,0.6970060131424399,297
0.0,2,"flanks 3-6, 26-36",within,-0.07580188443486673,0.20346133896922827,0.22547013534863647,302
0.0,2,"flanks 3-6, 26-36",within IV,0.0863499428515475,0.18125767991643518,0.2155273502380495,305
0.0,3,censor 6-16,within,0.20459684382611357,0.12452679203722512,0.10278469211230033,310
0.0,3,censor 6-16,within IV,0.44538833013533974,0.16698046184774643,0.36337254835030647,321
0.0,3,"flanks 3-6, 26-36",within,-0.11951628563556788,0.1491632057023799,-0.010743310396256858,314
0.0,3,"flanks 3-6, 26-36",within IV,-0.09028184649338349,0.1598873152947244,-0.014642602848942615,323
0.25,0,censor 6-16,within,0.25506485193513834,0.14159905267016712,0.23230370943877515,330
0.25,0,censor 6-16,within IV,0.17387626644712223,0.16009147422468498,0.3135714552419701,328
0.25,0,"flanks 3-6, 26-36",within,0.10631846278417237,0.1508098461325233,0.13410508490128292,338
0.25,0,"flanks 3-6, 26-36",within IV,-0.20330405388416134,0.16081958316552172,-0.15637529187980304,335
0.25,1,censor 6-16,within,-0.10530794162514101,0.17744993758929112,0.5011119153100131,321
0.25,1,censor 6-16,within IV,0.5432271535688286,0.2028172936411679,0.35218698806712573,317
0.25,1,"flanks 3-6, 26-36",within,-0.31562708226842884,0.16208558985070637,-0.007736636370877238,332
0.25,1,"flanks 3-6, 26-36",within IV,0.29446559276402523,0.2066197245078517,0.3431407641677315,325
0.25,2,censor 6-16,within,-0.2424964376217276,0.13947578706317507,0.04998940107328906,333
0.25,2,censor 6-16,within IV,0.08888524122180903,0.16098447477480243,0.15991006470488686,335
0.25,2,"flanks 3-6, 26-36",within,-0.16693093164041323,0.2009400289514977,0.18290511452013902,336
0.25,2,"flanks 3-6, 26-36",within IV,0.06235460265516166,0.19807691457731022,0.020363765808661366,334
0.25,3,censor 6-16,within,0.11010682263989227,0.1744280382515968,0.38149322533988517,316
0.25,3,censor 6-16,within IV,0.36195707156794854,0.1687807044418137,0.5382537209803208,325
0.25,3,"flanks 3-6, 26-36",within,-0.3319334827567716,0.2348353715708837,0.2261543818507926,325
0.25,3,"flanks 3-6, 26-36",within IV,-0.036137815093670894,0.21965797055431832,-0.005006405153862025,328
0.5,0,censor 6-16,within,-0.16693418415393413,0.18954458531718568,0.5660908626870618,369
0.5,0,censor 6-16,within IV,0.4215591181232061,0.17380841516946086,0.5201157135429566,366
0.5,0,"flanks 3-6, 26-36",within,-0.08548641271041606,0.19342883087742246,0.4021107338896948,370
0.5,0,"flanks 3-6, 26-36",within IV,0.23206032210178001,0.2273357048427549,0.3116260466364218,368
0.5,1,censor 6-16,within,0.019036040200065003,0.15766930093509823,0.37360510675002806,355
0.5,1,censor 6-16,within IV,0.4361000472890342,0.1586107490747743,0.6269315564269009,354
0.5,1,"flanks 3-6, 26-36",within,-0.2550494083665242,0.19677232076127193,0.0902520664400139,359
0.5,1,"flanks 3-6, 26-36",within IV,0.22574058825552024,0.1706256573536069,0.347774138726956,360
0.5,2,censor 6-16,within,-0.21768453040688604,0.1576426278917273,0.27769713028850623,373
0.5,2,censor 6-16,within IV,-0.020269039796385953,0.18909237633404455,0.050077327199297986,370
0.5,2,"flanks 3-6, 26-36",within,-0.08717089785458912,0.14441149430941197,0.23646557908186025,373
0.5,2,"flanks 3-6, 26-36",within IV,0.024573257901943868,0.17179441946251015,0.2505560780447687,372
0.5,3,censor 6-16,within,-0.28354120234400104,0.18458420833779962,0.33345553144100865,357
0.5,3,censor 6-16,within IV,0.22362608044646537,0.18335862072560022,0.7326064393963742,359
0.5,3,"flanks 3-6, 26-36",within,-0.0826316968816875,0.17082766768857607,0.3998243337867137,360
0.5,3,"flanks 3-6, 26-36",within IV,0.08315498221645548,0.20166799105479555,0.2249127986976466,364
0.75,0,censor 6-16,within,0.2149446070199046,0.1307967007445996,0.6065200395973477,395
0.75,0,censor 6-16,within IV,0.23788685686477784,0.1807855215969413,0.535560222459676,388
0.75,0,"flanks 3-6, 26-36",within,0.43792965972944825,0.11691830810820106,0.7686990605800318,396
