estimator,cond,p,p_se,q,q_se,lam_from_p,lam_from_q,F_additive,p_additive,F_multiplicative,p_multiplicative,log10_falpha,n,r2
censored,ec,0.985571065355235,0.2394696966739275,-1.2543212507888757,0.4792022019804215,0.985571065355235,1.2682663264447405,9.102274263808116,0.0006824954133112567,0.5049814364068838,0.6079719409138868,0.9890046156985368,37,0.3487157544899756
censored,eo,0.859054176623846,0.16596150278714253,-0.9567867103459426,0.3910065647065831,0.859054176623846,0.9674239079967907,18.005670934512278,5.167639630551655e-06,0.9087906517925325,0.41286031003703094,0.9890046156985368,36,0.5218177316037393
local_flank,ec,1.1990494006807526,0.26836713073738205,-1.6317095548485099,0.5032887356669904,1.1990494006807526,1.6498502928583691,11.509364982530139,0.0001523503360049922,1.2383540048911719,0.3026047669377915,0.9890046156985368,37,0.40370471210364756
local_flank,eo,1.082029326784479,0.21319659025589807,-1.4156584156915257,0.4594505494756113,1.082029326784479,1.4313971777489047,20.53788172448452,1.6062892815812359e-06,1.1071295529313254,0.34247103259808587,0.9890046156985368,36,0.5545101600912442
full_reg,ec,1.0317804446832717,0.30715228815881984,-0.8946786502097507,0.5914998065112386,1.0317804446832717,0.904625353621668,7.55125405011907,0.0019336554808245879,0.086686245479721,0.9171667510997827,0.9890046156985368,37,0.30757101183930935
full_reg,eo,0.8610763991923586,0.1717756321390337,-0.7073484297971202,0.39808066104166756,0.8610763991923586,0.7152124657148521,19.48335995080963,2.5870618496120937e-06,0.33214323135925533,0.7197549847658157,0.9890046156985368,36,0.5414547162200518
theilsen,ec,1.2221640201126094,0.19847231313202804,-1.2079643725346823,0.28958827695257333,1.2221640201126094,1.2213940697147239,20.55938602244167,1.8110791260042364e-06,0.6806424377890188,0.5134703303896718,0.9890046156985368,35,0.562355888849486
theilsen,eo,0.9609002164759824,0.1973638565515564,-1.1205034014893236,0.36498908258543744,0.9609002164759824,1.132960740226585,12.291827100300658,0.00011733465024371022,0.3239112480846237,0.7257329241859017,0.9890046156985368,34,0.44228208012159376
specparam1,ec,1.0146263031389562,0.23676993786083267,-1.4138633130401683,0.48557495259400885,1.0146263031389562,1.4295821178160555,10.124422676543757,0.00035522465985613524,1.2123769718341506,0.3100265844243437,0.9890046156985368,37,0.37325854995243857
specparam1,eo,0.9574836644384641,0.17016590969194512,-1.3755011320346031,0.41503076954553625,0.9574836644384641,1.390793440395708,20.459220165565664,1.663638240478636e-06,2.6002203924878464,0.08940294694748352,0.9890046156985368,36,0.553562008990309
specparam3,ec,1.0018207045786593,0.2537191804561723,-1.3525473449396457,0.5123935079912952,1.0018207045786593,1.3675844616603103,9.81891930191063,0.0004306555158961846,1.2464738953292667,0.3003236346802461,0.9890046156985368,37,0.36611912625469323
specparam3,eo,0.9083588330764552,0.17200782604136475,-0.9967370175996263,0.3876361051272185,0.9083588330764552,1.0078183678603239,26.8603262823274,1.192499329900425e-07,0.8150375750050294,0.4513343073978341,0.9890046156985368,36,0.6194678081395117
