band,model,window,n,n_total,frac_kept,lam_ols,lam_iv,ci_lo,ci_hi,se_iv
alpha,fixed,censor 6-16,2181,2798,0.7794853466761973,0.6994760834194172,0.7049509327938264,0.6087055486355438,0.7969856070570028,0.047501563393322094
alpha,fixed,"flanks 3-6, 26-36",2229,2798,0.7966404574696212,0.5523558808324942,0.5563338469229027,0.47383343198827976,0.6288868590196428,0.039880284546795514
alpha,knee_plateau,censor 6-16,1707,2798,0.6100786275911365,0.7429131875343592,0.7856969026260713,0.6928553871097689,0.8681661168635995,0.04396303438042281
alpha,knee_plateau,"flanks 3-6, 26-36",2021,2798,0.722301644031451,0.5206248660881663,0.6213653623142127,0.5411630135739293,0.6959981945288269,0.038886711199665906
control,fixed,censor 6-16,230,2798,0.08220157255182273,0.9279715568831435,0.714782457620337,0.25182723984998817,1.0196151903361736,0.20122454762638523
control,fixed,"flanks 3-6, 26-36",494,2798,0.17655468191565404,1.1803407606717768,1.2307115681199092,1.1086200559053379,1.3743372564521767,0.06800889568468856
control,knee_plateau,censor 6-16,515,2798,0.18406004288777697,1.0558033116525942,1.1218067969549494,0.8119698345204921,1.4791793195334493,0.1708702948839545
control,knee_plateau,"flanks 3-6, 26-36",231,2798,0.0825589706933524,1.2402320848649346,1.3758592295508179,1.0996600821561888,1.581173660045519,0.12200078194935611
