sample,model,lam,est,lo,hi,p,re_est,re_lo,re_hi,I2,n
qc,fixed,0.0,0.06986814649106315,0.05347046382148955,0.08626582916063676,6.761745275666718e-17,0.07363328441552278,0.05609442657741849,0.09117214225362706,0.0,1516
qc,fixed,1.0,0.05532801107000655,0.0389344233875578,0.0717215987524553,3.719615721487005e-11,0.058733500757892416,0.04393640733209574,0.0735305941836891,0.0,1516
qc,knee_plateau,0.0,0.08547911406593298,0.0648655654211941,0.10609266271067186,4.383453801483644e-16,0.08873867340937108,0.06718985615752904,0.11028749066121313,0.0,1305
qc,knee_plateau,1.0,0.06267332868861093,0.04235263601389498,0.08299402136332688,1.4946109592349173e-09,0.06610427712544846,0.04517286189405213,0.08703569235684479,0.0,1305
all,fixed,0.0,0.07655286804624299,0.05768205232624806,0.09542368376623792,1.8509044046599408e-15,0.07599402533668462,0.059648404868974825,0.09233964580439441,0.0,1692
all,fixed,1.0,0.04874298148540708,0.03175411319205036,0.0657318497787638,1.872807315559148e-08,0.05251864265832688,0.03261419406679369,0.07242309124986007,0.0689669780022967,1692
all,knee_plateau,0.0,0.09085012457194198,0.06651576783111278,0.11518448131277119,2.529181557544758e-13,0.09162713347412904,0.07474560828333555,0.10850865866492253,0.0,1454
all,knee_plateau,1.0,0.05613133737877127,0.035349794498254414,0.07691288025928812,1.1973524605886524e-07,0.05834690714712832,0.038551298967228684,0.07814251532702796,0.0,1454
