lambda_true,rep,estimator,route,lam_hat,se,lam_hat_q,n
0.5,4,censor 6-16,within IV,0.6417807414935147,0.22882184751661128,0.7896155317838216,358
0.5,4,"flanks 3-6, 26-36",within,-0.5982992507015401,0.22879336064429975,-0.11029347557888931,365
0.5,4,"flanks 3-6, 26-36",within IV,0.5602798104263308,0.2183366377787957,0.5481430380350478,357
0.5,5,censor 6-16,within,-0.2159746933310776,0.1878750067392371,0.5382170736218688,369
0.5,5,censor 6-16,within IV,0.35288194913135246,0.16631548536214627,0.5089078162374281,369
0.5,5,"flanks 3-6, 26-36",within,-0.18497043887540215,0.2281397012258247,0.45112533024403595,370
0.5,5,"flanks 3-6, 26-36",within IV,0.33458353008466113,0.16471088681774965,0.652448766575477,364
0.75,0,censor 6-16,within,0.37618110432864704,0.12270988512547436,0.7226024244099034,397
0.75,0,censor 6-16,within IV,0.2799726952374997,0.14951716786703906,0.5620700616739225,392
0.75,0,"flanks 3-6, 26-36",within,0.43539191672959776,0.10880019960594499,0.7381138198523373,398
0.75,0,"flanks 3-6, 26-36",within IV,0.45616736464929303,0.143317039411721,0.6546930245856795,394
0.75,1,censor 6-16,within,0.21674644057096887,0.13721646951399422,0.8058168359210897,398
0.75,1,censor 6-16,within IV,0.4450331147148782,0.1334964691735057,0.6504169520566954,393
0.75,1,"flanks 3-6, 26-36",within,0.38995645621582004,0.14632461492806112,0.9115779266184627,397
0.75,1,"flanks 3-6, 26-36",within IV,0.4841901222126546,0.12827972968784387,0.6648502189424847,393
0.75,2,censor 6-16,within,0.48816044003751585,0.16118706240631728,0.7275546342168273,397
0.75,2,censor 6-16,within IV,0.5761928660690853,0.15779626481025527,0.781711660699178,393
0.75,2,"flanks 3-6, 26-36",within,0.31623170531088335,0.1615644175880745,0.6814103867924558,398
0.75,2,"flanks 3-6, 26-36",within IV,0.5335769452996024,0.13167602163850828,0.7135914133182293,393
0.75,3,censor 6-16,within,0.11633583407716702,0.17373865833741953,0.5629765123285927,391
0.75,3,censor 6-16,within IV,0.5916520248034184,0.16988752794299294,0.49038024350282505,389
0.75,3,"flanks 3-6, 26-36",within,0.14596201767673717,0.18493525971035135,0.6017292062059083,396
0.75,3,"flanks 3-6, 26-36",within IV,0.523674278268678,0.18054471028951144,0.6092173102285433,389
0.75,4,censor 6-16,within,0.1541189533474746,0.13605828577196577,0.49064424218852604,397
0.75,4,censor 6-16,within IV,0.358802086129756,0.15742090141480902,0.4371560108965631,395
0.75,4,"flanks 3-6, 26-36",within,0.32429613991460005,0.12222778072238716,0.6688118557806204,398
0.75,4,"flanks 3-6, 26-36",within IV,0.4223339142183496,0.18309065145777428,0.4493787271526004,395
0.75,5,censor 6-16,within,0.011580186715512007,0.12480183512573799,0.7245953980268457,391
0.75,5,censor 6-16,within IV,0.372334471210636,0.14095098528730235,0.5931645192968689,391
0.75,5,"flanks 3-6, 26-36",within,0.10169901654310975,0.12418507099889253,0.6247634850768989,393
0.75,5,"flanks 3-6, 26-36",within IV,0.564740836459048,0.137362323634546,0.8179420726629155,394
1.0,0,censor 6-16,within,0.33497368420669005,0.12359899501405845,1.007329967703449,399
1.0,0,censor 6-16,within IV,0.7899851334383678,0.11883534383315732,1.0330643835176843,398
1.0,0,"flanks 3-6, 26-36",within,0.24845795147729643,0.11357024596162832,0.9290576442790716,400
1.0,0,"flanks 3-6, 26-36",within IV,0.6147553284682065,0.1353615760749104,0.8638285807622795,400
1.0,1,censor 6-16,within,0.29573068828259624,0.11769446168278701,0.8469907446387172,400
1.0,1,censor 6-16,within IV,0.5617724141606081,0.1360694167990579,0.7391375541545508,400
1.0,1,"flanks 3-6, 26-36",within,0.36405898131144215,0.09848697350527767,0.8616681780008225,400
1.0,1,"flanks 3-6, 26-36",within IV,0.5266022121429582,0.11202600130294764,0.7615298849638215,399
1.0,2,censor 6-16,within,0.3792227927608658,0.10705386318579181,1.102668011130642,400
1.0,2,censor 6-16,within IV,0.6688586938330134,0.11534727208472255,0.861558513121342,398
1.0,2,"flanks 3-6, 26-36",within,0.4505862678836687,0.08621509100589993,1.0580926000405386,399
1.0,2,"flanks 3-6, 26-36",within IV,0.695196198724078,0.10845106388675738,0.9232721189093174,398
1.0,3,censor 6-16,within,0.4095111681944603,0.09467312080130581,1.1378527033142602,399
1.0,3,censor 6-16,within IV,0.6543192285446998,0.10810992353920425,1.020295650277764,399
1.0,3,"flanks 3-6, 26-36",within,0.27257400709459995,0.10543688877355312,1.0117396386062723,400
1.0,3,"flanks 3-6, 26-36",within IV,0.6926244812459269,0.09759716922029903,1.021504212306492,399
1.0,4,censor 6-16,within,0.40670468598109266,0.09850609658330364,0.9544387233385818,400
1.0,4,censor 6-16,within IV,0.775178500757459,0.1067989691515784,0.8479136337234604,399
1.0,4,"flanks 3-6, 26-36",within,0.4550782878078796,0.08697469793746121,0.9822531381387316,400
1.0,4,"flanks 3-6, 26-36",within IV,0.7899462627284402,0.09566693473915439,0.9332323480609399,400
1.0,5,censor 6-16,within,0.4823870297646363,0.10863348353454255,1.0168391889138424,400
1.0,5,censor 6-16,within IV,0.6738254691782898,0.15492615974256543,0.8296753169968935,399
1.0,5,"flanks 3-6, 26-36",within,0.5421971864599037,0.09903870091377083,0.9887357093824407,400
1.0,5,"flanks 3-6, 26-36",within IV,0.7626266654157822,0.12081365945286829,0.9171545471501572,398
