flank,harmonic,iaf_shift,n,r_flank_alpha,mean_dlogp
low,0.15,0.0,200,0.4786987142459052,0.006548310622414983
high,0.15,0.0,200,0.03289576637156231,0.0006937142785739722
low,0.0,0.0,200,0.4176500387189175,0.006043105974821325
high,0.0,0.0,200,0.0583217871070506,0.000379310476014495
low,0.15,-0.3,200,0.3909867281459002,0.007862349634174318
high,0.15,-0.3,200,0.0625072026957964,0.0008653219693246018
