lambda_true,rep,estimator,route,lam_hat,se,lam_hat_q,n
0.75,7,"flanks 3-6, 26-36",within,0.11155321464583993,0.12753324903679636,0.5938809991864854,393
0.75,7,"flanks 3-6, 26-36",within IV,0.544804484816076,0.16272876772077866,0.6167120635921404,391
1.0,0,censor 6-16,within,0.33497368420668916,0.1235989950140585,1.007329967703449,399
1.0,0,censor 6-16,within IV,0.789985133438369,0.11883534383315739,1.0330643835176845,398
1.0,0,"flanks 3-6, 26-36",within,0.24845795147729693,0.11357024596162829,0.9290576442790721,400
1.0,0,"flanks 3-6, 26-36",within IV,0.6147553284682067,0.1353615760749105,0.8638285807622792,400
1.0,1,censor 6-16,within,0.2957306882825963,0.11769446168278701,0.8469907446387172,400
1.0,1,censor 6-16,within IV,0.5617724141606082,0.13606941679905785,0.7391375541545512,400
1.0,1,"flanks 3-6, 26-36",within,0.364058981311442,0.09848697350527762,0.8616681780008221,400
1.0,1,"flanks 3-6, 26-36",within IV,0.5266022121429585,0.11202600130294764,0.7615298849638217,399
1.0,2,censor 6-16,within,0.3792227927608652,0.10705386318579176,1.1026680111306417,400
1.0,2,censor 6-16,within IV,0.6688586938330134,0.11534727208472254,0.8615585131213418,398
1.0,2,"flanks 3-6, 26-36",within,0.4505862678836695,0.08621509100589995,1.0580926000405388,399
1.0,2,"flanks 3-6, 26-36",within IV,0.6951961987240773,0.1084510638867573,0.9232721189093172,398
1.0,3,censor 6-16,within,0.40951116819446054,0.09467312080130581,1.1378527033142611,399
1.0,3,censor 6-16,within IV,0.6543192285446998,0.10810992353920425,1.0202956502777638,399
1.0,3,"flanks 3-6, 26-36",within,0.27257400709460106,0.1054368887735531,1.0117396386062723,400
1.0,3,"flanks 3-6, 26-36",within IV,0.6926244812459258,0.09759716922029904,1.021504212306492,399
1.0,4,censor 6-16,within,0.40670468598109216,0.09850609658330367,0.9544387233385817,400
1.0,4,censor 6-16,within IV,0.7751785007574591,0.10679896915157842,0.8479136337234603,399
1.0,4,"flanks 3-6, 26-36",within,0.45507828780788007,0.0869746979374612,0.982253138138732,400
1.0,4,"flanks 3-6, 26-36",within IV,0.7899462627284404,0.0956669347391544,0.9332323480609396,400
1.0,5,censor 6-16,within,0.48238702976463593,0.10863348353454255,1.016839188913842,400
1.0,5,censor 6-16,within IV,0.67382546917829,0.15492615974256535,0.8296753169968936,399
1.0,5,"flanks 3-6, 26-36",within,0.5421971864599036,0.09903870091377082,0.9887357093824406,400
1.0,5,"flanks 3-6, 26-36",within IV,0.762626665415782,0.12081365945286825,0.917154547150156,398
1.0,6,censor 6-16,within,0.3843544558772212,0.12856087714472314,1.1045904224608736,399
1.0,6,censor 6-16,within IV,0.6936695807743478,0.1557719395653627,0.9853811726180793,399
1.0,6,"flanks 3-6, 26-36",within,0.6093943447070193,0.15594885596089486,1.1214234879026537,399
1.0,6,"flanks 3-6, 26-36",within IV,0.8339518720018986,0.1097472774352878,1.0612974734403764,399
1.0,7,censor 6-16,within,0.3180947793076815,0.08777569381756588,0.7851404315125665,399
1.0,7,censor 6-16,within IV,0.6063828703736982,0.10482796124540307,0.7188487739292518,398
1.0,7,"flanks 3-6, 26-36",within,0.2803569703997004,0.08866843687711269,0.8093075428793681,400
1.0,7,"flanks 3-6, 26-36",within IV,0.67485621749464,0.10639893863770637,0.7952505382780163,399
