estimator,split_a,split_b,p,p_se,q,q_se,lam_from_p,lam_from_q,F_additive,p_additive,F_multiplicative,p_multiplicative,log10_falpha,n,r2
censored,full,full,0.97083693570389,0.14011624731708672,-1.1002303082510783,0.31211931970125906,0.97083693570389,1.112462258301982,25.75163407745237,1.828382964151687e-07,0.2697810014965002,0.7652143851987122,0.9890046156985368,36,0.6094825594259027
censored,odd,even,0.7672483260790682,0.13297754509610438,-0.9567945483878866,0.3274854154374949,0.7672483260790682,0.9674318331791605,18.332710397345757,4.949829956241065e-06,2.980628319765947,0.06500553913647121,0.9890046156985368,35,0.5339721270233022
censored,even,odd,1.193587786719183,0.19442847190699644,-1.5353032805932796,0.38423290124562365,1.193587786719183,1.5523722096169292,19.221656774411855,3.722498278951079e-06,1.0153586003496518,0.3740048182614126,0.9890046156985368,34,0.5535927303036203
local_flank,full,full,1.0824576998980442,0.1973988183363141,-1.2314424644156845,0.39514847929094876,1.0824576998980442,1.2451331822611496,24.101058841272682,3.5287317375272756e-07,0.238157064529712,0.7894216619499094,0.9890046156985368,36,0.5936066577843269
local_flank,odd,even,0.9792123810797485,0.22059328510566498,-1.3720409615518203,0.48639272472445294,0.9792123810797485,1.387294801028551,14.671220507717173,3.0076187900652514e-05,2.3770211854519645,0.10902293426829698,0.9890046156985368,35,0.47833833361883205
local_flank,even,odd,1.203102461654023,0.2539395444375608,-1.3527051857248755,0.4457215181113644,1.203102461654023,1.367744057260497,16.12431686312706,1.7574034126158427e-05,0.3421346596963671,0.7129876899658228,0.9890046156985368,33,0.5180617114918755
full_reg,full,full,0.9865025189339807,0.18926497456735913,-0.8795830596400624,0.4041986042017682,0.9865025189339807,0.8893619359084693,16.027228187203967,1.3690163949268477e-05,0.05185118485478259,0.9495473476812658,0.9890046156985368,36,0.49273267598955695
full_reg,odd,even,0.7247754895365391,0.14631138060621776,-0.5477855840976988,0.37037189887676536,0.7247754895365391,0.5538756598327869,16.347159998421045,1.28392961255446e-05,1.7882004907100062,0.1835724358748689,0.9890046156985368,35,0.5053661588596647
full_reg,even,odd,1.1656124028563857,0.1947350478851721,-1.3199667387586784,0.3668201379236272,1.1656124028563857,1.3346416364562486,19.272331523806344,3.6392948424482225e-06,0.4356147500344341,0.6507655903123788,0.9890046156985368,34,0.5542432928494263
theilsen,full,full,1.0386386061726738,0.18195699786656772,-0.9461732858958356,0.31740846944477813,1.0386386061726738,0.9566924874537119,17.40788110016374,8.55052083677234e-06,0.10388600314253177,0.901640486441679,0.9890046156985368,34,0.5289882094559142
theilsen,odd,even,0.7686594151250028,0.16427360077421405,-0.5645200409583269,0.3358147652837332,0.7686594151250028,0.5707961641408567,12.396238323405232,0.000110709229830338,1.1036127547482086,0.34435079248951334,0.9890046156985368,34,0.44436953038950266
theilsen,even,odd,1.1151399824014947,0.19049886925945972,-1.3419760779418772,0.3091564047574603,1.1151399824014947,1.3568956672603956,17.244522250246852,1.163157429714072e-05,0.7706826649027634,0.4719418317847314,0.9890046156985368,32,0.5432282809079843
specparam1,full,full,0.8358448204051061,0.14658639854365282,-1.037046824349793,0.34475486318614,0.8358448204051061,1.0485763240016062,20.282068943908303,1.800895599979018e-06,2.2811055654335926,0.11805545028117154,0.9890046156985368,36,0.551411857088244
specparam1,odd,even,0.5065723394920754,0.16893439443516237,-0.4198617722380097,0.43476179834250644,0.5065723394920754,0.4245296387635766,7.71411922782929,0.0017280819177909609,5.953381928220479,0.006070689923846045,0.9890046156985368,37,0.312134094552025
specparam1,even,odd,0.8738573813087254,0.18715931072758255,-0.876490073683884,0.4047282127778163,0.8738573813087254,0.8862345632884803,18.598938723090622,4.374367649899888e-06,0.43031559291266047,0.6540112751859141,0.9890046156985368,35,0.5375580699727669
specparam3,full,full,0.7470694088342322,0.18547558520024696,-0.6559463514003233,0.3754463847335739,0.7470694088342322,0.6632389181895036,20.79164353379602,1.435142184326133e-06,1.3776550870523072,0.2662937265689734,0.9890046156985368,36,0.5575416249743268
specparam3,odd,even,0.6501614657215413,0.19385364981411188,-0.7297254423090092,0.4023207662828588,0.6501614657215413,0.7378382575025719,10.193566356509384,0.00034017846045299144,4.587297402744986,0.017229036576698924,0.9890046156985368,37,0.3748521331432253
specparam3,even,odd,0.9881884309373983,0.2260775589132418,-1.0441428496293181,0.41580320983959246,0.9881884309373983,1.055751240242531,17.866575512842225,5.523785579186812e-06,0.11660510053707945,0.8903015897547715,0.9890046156985368,36,0.5198823346878371
