lambda_true,rep,estimator,route,lam_hat,se,lam_hat_q,n
0.0,0,censor 6-16,within,0.37856174226465966,0.13912093996692532,0.28392293600520785,333
0.0,0,censor 6-16,within IV,0.7623502059011129,0.16141278611436152,0.7743971130652616,342
0.0,0,"flanks 3-6, 26-36",within,0.009699307664789547,0.17286089571927238,0.2513027980878522,340
0.0,0,"flanks 3-6, 26-36",within IV,0.2910514015108581,0.14577820741784955,0.3807899884284286,346
0.0,1,censor 6-16,within,0.4979681059061529,0.18016208822752,0.8487884822347985,327
0.0,1,censor 6-16,within IV,0.6486906822196712,0.15027229306891868,0.6322220508588191,317
0.0,1,"flanks 3-6, 26-36",within,-0.3199271233414989,0.21015626903145088,-0.07982506184119774,336
0.0,1,"flanks 3-6, 26-36",within IV,0.1910374359376693,0.19599828788738835,0.2495578175068895,326
0.0,2,censor 6-16,within,0.6999048267990485,0.1683377798320509,0.863411074420016,330
0.0,2,censor 6-16,within IV,0.9282289698358495,0.17443080183284485,0.9780530521337176,330
0.0,2,"flanks 3-6, 26-36",within,0.06205727935956436,0.19575268321019088,0.45699245983245507,344
0.0,2,"flanks 3-6, 26-36",within IV,0.21517513431246788,0.17428634416721347,0.33931771046017467,332
0.0,3,censor 6-16,within,0.7118218527191266,0.19787593989541613,0.7201490822459092,340
0.0,3,censor 6-16,within IV,0.7183585511920868,0.12522823406397132,0.6491167935856315,337
0.0,3,"flanks 3-6, 26-36",within,-0.07095186414728584,0.19714961660469976,0.1368288923732962,345
0.0,3,"flanks 3-6, 26-36",within IV,0.05162063846178634,0.16201840893809452,0.16415965687104758,346
0.25,0,censor 6-16,within,-0.0023756716044409432,0.15344690396049301,0.24887705862921533,355
0.25,0,censor 6-16,within IV,0.1726641423400545,0.15556540185862291,0.32141995783461147,347
0.25,0,"flanks 3-6, 26-36",within,-0.02300943122027534,0.18098210863254743,0.0991769633092967,357
0.25,0,"flanks 3-6, 26-36",within IV,0.14836505035615935,0.2018909867854019,0.21823292265642313,357
0.25,1,censor 6-16,within,0.4042826531314982,0.15520138870285033,0.9034304271937611,343
0.25,1,censor 6-16,within IV,0.5265506914177669,0.16048295334251367,0.6759452532551578,338
0.25,1,"flanks 3-6, 26-36",within,0.20679521909474413,0.16456034552267798,0.38240161261638045,355
0.25,1,"flanks 3-6, 26-36",within IV,0.26852709166259753,0.20561283456576532,0.30367576876568975,354
0.25,2,censor 6-16,within,0.3284866862900143,0.14249923385147867,0.5734752568301283,348
0.25,2,censor 6-16,within IV,0.34195153937618766,0.17384360700854615,0.41547459784839263,353
