flank,group,n,r,lo,hi,dlogp_post,dlogp_temp
low,all,2796,0.6086249070505638,0.5780658007867459,0.6372035347379855,-0.2211444289076951,-0.2611988552947119
low,5.0-8.3,932,0.8186786457407011,0.7612128370696528,0.857063670300668,-0.2789379090441039,-0.3791349027805096
low,8.3-11.2,932,0.6730382825546392,0.6299797124389652,0.7140588061346168,-0.15105880268633898,-0.22693472295868414
low,11.2-22.0,932,0.3934456239234651,0.3480826341797379,0.435379885809537,-0.23343657499264236,-0.17752694014494189
low,16-21.9,212,0.1995058805229874,0.11453815263350806,0.3058058466860537,-0.4294361478825206,-0.20442266901961753
high,all,2796,0.3366973513764239,0.2902580266695752,0.38337829125853784,-0.11993757402734866,-0.3077954890685339
high,5.0-8.3,932,0.033568918656660125,-0.06173438970508746,0.14665137476841106,-0.30645801540233086,-0.44803557472965777
high,8.3-11.2,932,0.3277570298256978,0.24876968073326125,0.4035100635969147,-0.08572757286426848,-0.2882535434119615
high,11.2-22.0,932,0.4956932801221039,0.445829696701473,0.5440416180516813,0.032372866184553456,-0.18709734906398234
high,16-21.9,212,0.4680062502780825,0.35883553608296215,0.5455191609652766,-0.013014719992827264,-0.20148422926830822
