sample,model,cond,lam,estimator,est,lo,hi,p,n,I2,p_holm
qc,knee_plateau,ec,1.0,age5_16,0.05735624411317147,0.041380330578070675,0.07333215764827228,1.9698202478309353e-12,2254,,
qc,knee_plateau,ec,1.0,quad,0.05159607899572648,0.03524506964013095,0.067947088351322,6.221178230591324e-10,2254,,
qc,knee_plateau,ec,1.0,"ln(tot/b), all",0.03292948825746088,0.02463152497124843,0.04122745154367333,7.374658009469482e-15,2396,,
qc,knee_plateau,ec,0.0,"linear a, Theil-Sen, %/y",-0.022941260503774964,-0.03577997569665025,-0.010663525839643749,,2396,,
qc,knee_plateau,eo,0.0,ols,-0.1162844213574647,-0.13847659286583897,-0.09409224984909041,9.6219201692224e-25,1836,,6.73534411845568e-24
qc,knee_plateau,eo,0.0,boot,-0.1162844213574647,-0.13703337082757425,-0.09375236189269864,,1836,,
qc,knee_plateau,eo,0.0,huber,-0.11409475666783911,-0.1347802139798035,-0.0934092993558747,3.067532327569212e-27,1836,,
qc,knee_plateau,eo,0.0,theilsen,-0.11404367490927769,-0.13556830359796146,-0.09272294455286043,,1836,,
qc,knee_plateau,eo,0.0,skipped,-0.2123170160384008,-0.25782561232063583,-0.16460857651710625,1.2570142317092622e-18,1836,,
qc,knee_plateau,eo,0.0,wls,-0.1095840665800969,-0.12984674530220194,-0.08932138785799185,2.985422244805692e-26,1836,,
qc,knee_plateau,eo,0.0,covar,-0.1112458529442402,-0.1333581827546454,-0.08913352313383502,6.176238300409552e-23,1836,,
qc,knee_plateau,eo,0.0,release_re,-0.11703352435171174,-0.15337611038009868,-0.08069093832332482,3.0131690826977566e-05,1836,0.507181632972629,
qc,knee_plateau,eo,0.0,age5_16,-0.1273032804939653,-0.1558700813901911,-0.09873647959773953,2.45258032845641e-18,1836,,
qc,knee_plateau,eo,0.0,quad,-0.12052863323960639,-0.14846463478559055,-0.09259263169362222,2.762855804112759e-17,1836,,
qc,knee_plateau,eo,1.0,ols,-0.008991163435524599,-0.0281249284571133,0.010142601586064101,0.35704609046853775,1836,,0.7140921809370755
qc,knee_plateau,eo,1.0,boot,-0.008991163435524599,-0.02823330051767713,0.01074356028869186,,1836,,
qc,knee_plateau,eo,1.0,huber,-0.0025364355794665347,-0.018619182329918462,0.013546311170985394,0.7572385839100504,1836,,
qc,knee_plateau,eo,1.0,theilsen,-0.0012053634783316999,-0.01793805128156419,0.015330337952177964,,1836,,
qc,knee_plateau,eo,1.0,skipped,0.023605664691795314,-0.026062444931589664,0.07399889087779667,0.33573524441949965,1836,,
