lambda_true,rep,estimator,route,lam_hat,se,lam_hat_q,n
0.0,0,censor 6-16,within,0.18776127448870927,0.11815366391427021,0.1816633260727823,339
0.0,0,censor 6-16,within IV,0.6017713257719752,0.14636304335161066,0.5380888235487823,352
0.0,0,"flanks 3-6, 26-36",within,0.014608608830386643,0.17772526771825567,0.28415258513321584,342
0.0,0,"flanks 3-6, 26-36",within IV,0.29138738964832855,0.1465652332052285,0.3659609081273056,346
0.0,1,censor 6-16,within,0.24680255909247872,0.1450666532317638,0.4353053143720119,334
0.0,1,censor 6-16,within IV,0.2370317333017855,0.15532225014379172,0.28291482424572695,330
0.0,1,"flanks 3-6, 26-36",within,-0.3746477956565924,0.2152635539953246,-0.1650349916206543,338
0.0,1,"flanks 3-6, 26-36",within IV,0.09515217872249228,0.2096038589732472,0.04545690043610763,327
0.0,2,censor 6-16,within,0.4241300689441428,0.16809947798503214,0.8661276085157924,340
0.0,2,censor 6-16,within IV,0.7217996879304843,0.175327391417008,0.8755117997507373,338
0.0,2,"flanks 3-6, 26-36",within,0.07102992147851121,0.19532405564441843,0.43406876688749163,344
0.0,2,"flanks 3-6, 26-36",within IV,0.21359508599862248,0.17541660745232424,0.31245523107818635,332
0.0,3,censor 6-16,within,0.47114622724603084,0.14661211838837337,0.5732881153358584,346
0.0,3,censor 6-16,within IV,0.5447712155768714,0.1202890960889611,0.5688303099296961,343
0.0,3,"flanks 3-6, 26-36",within,-0.07407709981312371,0.19241993791089804,0.0761345825136062,345
0.0,3,"flanks 3-6, 26-36",within IV,0.030345657304098987,0.15704106451224306,0.11360388225784279,346
0.25,0,censor 6-16,within,-0.16133791746868936,0.1348217515229485,0.1433209577174569,363
0.25,0,censor 6-16,within IV,0.14709674608428763,0.14185615224875883,0.2877467310177744,352
0.25,0,"flanks 3-6, 26-36",within,-0.023625335606072648,0.18108429196250725,0.09945396018376482,357
0.25,0,"flanks 3-6, 26-36",within IV,0.1627220649986531,0.20442633423867362,0.25030237190906635,357
0.25,1,censor 6-16,within,0.30746147264577983,0.16111558042259957,0.9079838361694057,352
0.25,1,censor 6-16,within IV,0.3555825194515485,0.15502120340578282,0.6178878442003365,346
0.25,1,"flanks 3-6, 26-36",within,0.22190524576509085,0.16577027361455207,0.40523766387668547,355
0.25,1,"flanks 3-6, 26-36",within IV,0.2800914359914645,0.2045850574553317,0.32438856958911655,354
0.25,2,censor 6-16,within,0.21682190502148213,0.16232173262442096,0.5988997714529922,359
0.25,2,censor 6-16,within IV,0.23820966459936566,0.14970976693958277,0.4066465068953908,357
0.25,2,"flanks 3-6, 26-36",within,0.21236442119837615,0.24447476330778284,0.5842016873819444,362
0.25,2,"flanks 3-6, 26-36",within IV,0.2326101012204621,0.2001629083778192,0.3797212419384849,362
0.25,3,censor 6-16,within,-0.19914418582420723,0.16992977221889463,0.21611603825944534,352
0.25,3,censor 6-16,within IV,0.4266686802506297,0.15346338281432353,0.39554781307006537,350
0.25,3,"flanks 3-6, 26-36",within,-0.046408674939448905,0.2061524317629116,0.3236065086413497,353
0.25,3,"flanks 3-6, 26-36",within IV,0.15135361744893713,0.2056838515133144,0.21992331364137113,358
0.5,0,censor 6-16,within,-0.22865161978377546,0.2189264467658046,0.540867037231136,385
0.5,0,censor 6-16,within IV,0.7295838710097656,0.1465181728003426,0.7114287372690384,375
0.5,0,"flanks 3-6, 26-36",within,0.06389198307714852,0.1793239625947414,0.4721811533177139,386
0.5,0,"flanks 3-6, 26-36",within IV,0.5025656503176209,0.1774651907176588,0.5772593841923405,377
0.5,1,censor 6-16,within,-0.09206728899528757,0.16520354344582813,0.2745256900600798,379
0.5,1,censor 6-16,within IV,0.34583402401186,0.16415786209815025,0.41664674760441067,375
0.5,1,"flanks 3-6, 26-36",within,-0.30225269333539306,0.1967560234366352,0.3186517838855346,377
0.5,1,"flanks 3-6, 26-36",within IV,0.3690519915701153,0.1906018077187508,0.6125676167693352,378
0.5,2,censor 6-16,within,0.18880681921789721,0.1351229255724967,0.4958900365477131,383
0.5,2,censor 6-16,within IV,0.11402655346372421,0.1332883740465259,0.2629665933539258,382
0.5,2,"flanks 3-6, 26-36",within,0.16509826779010944,0.12495262259440788,0.46128866029035337,382
0.5,2,"flanks 3-6, 26-36",within IV,0.19082620610491396,0.12868802255994774,0.2883484380227586,381
0.5,3,censor 6-16,within,-0.07593583655066546,0.14188879257231768,0.5483953525100271,379
