fit_range,map,r,n_channels,n_eff,p
2-40 Hz,d exponent,0.020741632817606052,129,16.440666156632055,0.9382443530126544
2-40 Hz,d log background,0.3475571542570656,129,10.729356771553563,0.3027461229217589
4-40 Hz,d exponent,0.22023848468121845,129,19.737940758184273,0.35442590472000063
4-40 Hz,d log background,0.43315210199369364,129,13.661693280923206,0.127443437067454
5-40 Hz,d exponent,0.32405937843266513,129,21.98189568185261,0.14139648630849488
5-40 Hz,d log background,0.49409244787151024,129,14.792911971959633,0.06337999003042073
2-30 Hz,d exponent,-0.16582341948619056,129,15.481960149651265,0.5472483002679356
2-30 Hz,d log background,0.3415474722602152,129,11.30148218119796,0.29556151066729813
