lambda_true,rep,estimator,route,lam_hat,se,lam_hat_q,n
0.0,0,censor 6-16,within,-0.12545968029122948,0.13279755828755607,0.0038902616787051705,316
0.0,0,censor 6-16,within IV,0.2869878918348441,0.13308604493019746,0.31696545763253636,327
0.0,0,"flanks 3-6, 26-36",within,-0.1837926521053373,0.15718261097185512,0.02679307805970019,315
0.0,0,"flanks 3-6, 26-36",within IV,0.18776477521874776,0.18258571624388142,0.256625581980489,330
0.0,1,censor 6-16,within,-0.07312136051772898,0.16196911407290987,0.1390974594874503,307
0.0,1,censor 6-16,within IV,0.1385526414212845,0.13741797213163678,0.06477516739035172,304
0.0,1,"flanks 3-6, 26-36",within,-0.5143749204191999,0.17638592650973134,-0.4377011951864722,305
0.0,1,"flanks 3-6, 26-36",within IV,-0.19535195122214236,0.14980776940425017,-0.319523159623925,307
0.0,2,censor 6-16,within,0.24333394611016487,0.14118888791882675,0.27377387430524014,303
0.0,2,censor 6-16,within IV,0.2572021638168905,0.14022091575885356,0.27669121816383113,309
0.0,2,"flanks 3-6, 26-36",within,-0.12315906611588195,0.21360209782590528,0.14449237929634895,303
0.0,2,"flanks 3-6, 26-36",within IV,-0.008882614702165215,0.19584755868290415,0.11409044861392763,306
0.0,3,censor 6-16,within,0.11315860745375694,0.1191856128488656,0.2121355922844031,317
0.0,3,censor 6-16,within IV,0.14757832453622044,0.12875200086153551,-0.003289041349179556,327
0.0,3,"flanks 3-6, 26-36",within,-0.11261891340062229,0.14662193766396944,-0.01588036322521045,314
0.0,3,"flanks 3-6, 26-36",within IV,-0.10539199310594827,0.15410843292629436,-0.06815745807026383,323
0.25,0,censor 6-16,within,-0.010444952084373647,0.13303881641624796,0.04928518235198822,335
0.25,0,censor 6-16,within IV,-0.08171838900487002,0.1536278695189113,0.1412497928540628,334
0.25,0,"flanks 3-6, 26-36",within,0.11480113593804757,0.14941101114453145,0.15549123643831753,338
0.25,0,"flanks 3-6, 26-36",within IV,-0.19636258388629166,0.16164167462935233,-0.14219918649784452,335
0.25,1,censor 6-16,within,-0.14661951231609413,0.16418571680821104,0.42059006558674006,331
0.25,1,censor 6-16,within IV,0.25786406017608393,0.1731251283723535,0.29487216081513445,323
0.25,1,"flanks 3-6, 26-36",within,-0.27464223938600746,0.16183909081462702,0.08289065866040701,332
0.25,1,"flanks 3-6, 26-36",within IV,0.3132163218633209,0.20388237778618262,0.3889535266932271,325
0.25,2,censor 6-16,within,0.1350358956161199,0.15250091685646314,0.2887311033440624,338
0.25,2,censor 6-16,within IV,0.04982309773036665,0.15594480899313176,0.016473069444660263,340
0.25,2,"flanks 3-6, 26-36",within,-0.1984003132002405,0.25772279750946897,0.13793542122691713,338
0.25,2,"flanks 3-6, 26-36",within IV,0.01795833234315954,0.2069710182670853,-0.08089919064349847,335
0.25,3,censor 6-16,within,-0.254870062722398,0.15370608111304226,0.12109621076292906,325
0.25,3,censor 6-16,within IV,0.30740703140780123,0.14355863413327544,0.49149291011896395,330
0.25,3,"flanks 3-6, 26-36",within,-0.26403563022552007,0.22861580318747612,0.3133591980107361,325
0.25,3,"flanks 3-6, 26-36",within IV,-0.025293089771477206,0.22022316568314404,0.021266411672743554,328
0.5,0,censor 6-16,within,-0.10325569939892643,0.1659429529426062,0.426680443808992,374
0.5,0,censor 6-16,within IV,0.3302132666093044,0.1525293256297666,0.4802449040248984,369
0.5,0,"flanks 3-6, 26-36",within,-0.19316696687603385,0.23877733600473156,0.26645527330111723,371
0.5,0,"flanks 3-6, 26-36",within IV,0.101081852252203,0.27122793325417116,0.19968396715019834,368
0.5,1,censor 6-16,within,-0.07353285799623906,0.18437748368839196,0.2918343871534477,363
0.5,1,censor 6-16,within IV,0.3990333740373339,0.16900969829062434,0.549114820309549,359
0.5,1,"flanks 3-6, 26-36",within,-0.23674646005675096,0.19599216311694903,0.13659798950778074,359
0.5,1,"flanks 3-6, 26-36",within IV,0.24482706922794042,0.16839480173811228,0.3943857962117528,360
0.5,2,censor 6-16,within,-0.23970935881413308,0.14530601177585467,0.3485997877075225,378
0.5,2,censor 6-16,within IV,-0.00981412607858606,0.15360567893010213,0.16559683786976004,374
0.5,2,"flanks 3-6, 26-36",within,-0.057791806640115524,0.14228524416480878,0.2848783054790588,373
0.5,2,"flanks 3-6, 26-36",within IV,0.046607325406349195,0.16985340655248857,0.29888533822839897,372
0.5,3,censor 6-16,within,-0.32365453528712246,0.20487165191179557,0.4593338048472112,366
0.5,3,censor 6-16,within IV,0.14841202555572688,0.16796574819456653,0.5040152660625433,364
0.5,3,"flanks 3-6, 26-36",within,-0.06793190107656782,0.169620858617271,0.4574785682149948,360
0.5,3,"flanks 3-6, 26-36",within IV,0.10236657534862095,0.19961114339361793,0.2640618945384396,364
0.75,0,censor 6-16,within,0.2968907321875029,0.115674899789649,0.6396705849893202,395
0.75,0,censor 6-16,within IV,0.2710628386839343,0.16010815326191266,0.5471807134931681,391
0.75,0,"flanks 3-6, 26-36",within,0.4405383946869681,0.11625783269958254,0.7855757747396597,396
0.75,0,"flanks 3-6, 26-36",within IV,0.5309598042067386,0.1876614732435154,0.715968883294003,391
0.75,1,censor 6-16,within,0.20116359238769174,0.15945817576170795,0.8041359298607187,397
0.75,1,censor 6-16,within IV,0.432230458283032,0.14605263512464958,0.6785016310808774,392
0.75,1,"flanks 3-6, 26-36",within,0.21073267633553333,0.13301328701675674,0.8005092041075159,393
0.75,1,"flanks 3-6, 26-36",within IV,0.3635438264113308,0.13680224996708576,0.5434251401833451,391
