lambda_true,harmonic,plateau,band,route,p,p_se,q,q_se,lam_from_p,lam_from_q,F_additive,p_additive,F_multiplicative,p_multiplicative,log10_falpha,n,r2
0.0,0.0,0.0,alpha,within,0.03123164356125877,0.2674274760549537,0.07109498825228343,0.3191355895628551,0.03123164356125877,-0.07112475585685954,0.24761010133125283,0.7808517422679214,6.617058239675502,0.0015788328173060343,0.9995814733672194,258,0.0019382758012838064
0.0,0.0,0.0,alpha,within IV,0.052508672160501715,0.2531386502685169,0.2555480345257136,0.3005259881206543,0.052508672160501715,-0.2556550329658142,2.7852241529076216,0.06355769878328241,8.721418616257175,0.000215763518976905,0.9995814733672194,263,0.020975407246369038
0.0,0.0,0.0,control,within,0.4677082142100876,0.48743129360960363,-0.5028354709035453,0.6645401988720266,0.4677082142100876,0.32898339683926153,1.9842860845405528,0.14124618320588317,8.863346981881744,0.0002350898315737083,1.5284524256682364,146,0.027002862656346882
0.0,0.0,0.0,control,within IV,0.971763866350196,0.5063474395118736,-1.2682153365768805,0.6886552157371258,0.971763866350196,0.8297381817575508,1.9841100610154256,0.14097998197532788,3.6413417348694446,0.028484763661372755,1.5284524256682364,158,0.024962348568693393
1.0,0.0,0.0,alpha,within,0.5561073059207564,0.09698755841501762,-0.8425539175193542,0.09324692933900525,0.5561073059207564,0.8401669515520854,41.33640163434473,1.4521906215942352e-16,12.904100104975285,4.227326507367929e-06,1.0028410614852907,300,0.21774749878564048
1.0,0.0,0.0,alpha,within IV,0.7317723565798531,0.12926842349384166,-0.8433180928641542,0.13709936476710075,0.7317723565798531,0.8409289619784118,19.786938910392013,8.568254586219356e-09,2.4479495101839652,0.08821379549532787,1.0028410614852907,300,0.11757857762763146
1.0,0.0,0.0,control,within,2.1161652240429083,0.7826607599632592,-0.54428046163914,0.9625082979337932,2.1161652240429083,0.3560990531983236,19.770165637494607,6.627929007445256e-08,24.137143006254806,3.3410212583829355e-09,1.5284524256682364,98,0.293892031484389
1.0,0.0,0.0,control,within IV,-0.36566371036595713,0.7543932248796998,0.09361764551232463,0.9282560674793752,-0.36566371036595713,-0.06124995710703601,1.0636476009798406,0.34899146401053305,1.6386039235285543,0.19932257847272403,1.5284524256682364,105,0.020429755693103124
0.0,0.35,0.0,alpha,within,-0.004746794039233884,0.2049170042063427,-0.3162390645306559,0.13753966821372068,-0.004746794039233884,0.31589694911811456,12.128250750539584,9.318077332087007e-06,12.984589300703306,4.274483780887711e-06,1.0010829968871064,257,0.08717317069044261
0.0,0.35,0.0,alpha,within IV,0.2616964677870768,0.1825947407203504,-0.48393009206099447,0.13193853146991072,0.2616964677870768,0.48340656425669765,13.4256098317869,2.9326674777080534e-06,8.487017681115319,0.000273029594815173,1.0010829968871064,248,0.09877174616616857
0.0,0.35,0.0,control,within,4.423321222610569,2.3579727186298447,-7.423321225234302,3.8835581029556776,4.423321222610569,4.856756481634579,1.8587950522968801,0.19233738146091336,1.1564859146541189,0.34289775859125515,1.5284524256682364,17,0.20982481718153478
0.0,0.35,0.0,control,within IV,2.3613813069976577,3.3313245001678324,-3.657002958924465,4.705816894839648,2.3613813069976577,2.3926181132694597,0.33135031627803163,0.7303026070377364,0.11506093738432399,0.8932316923581891,1.5284524256682364,9,0.09946426668457797
1.0,0.35,0.0,alpha,within,0.61678864310062,0.1193695536760945,-0.9754577644172,0.10732172211313085,0.61678864310062,0.9747907011520227,41.816656797320135,9.978690667487635e-17,8.16826086677619,0.0003521247337833397,1.0006843143501358,300,0.21972147630700178
1.0,0.35,0.0,alpha,within IV,0.844864006644478,0.12393880973772867,-1.0872514990961724,0.12667698645159997,0.844864006644478,1.086507986089754,36.850796010124526,5.178249366611397e-15,4.3083912161348215,0.014311849489212491,1.0006843143501358,298,0.19989496550967234
1.0,0.35,0.0,control,within,-0.6727118269463657,4.588677979145718,1.832862116574911,5.109894916020145,-0.6727118269463657,-1.1991620319968987,0.5107636771959831,0.6282874023473652,1.0471097386554094,0.41702631456454103,1.5284524256682364,8,0.169645887873762
1.0,0.35,0.0,control,within IV,0.010889308060790137,2.199924316856929,0.30146975784887076,2.79365753897627,0.010889308060790137,-0.19723856155815173,0.11492306074706206,0.8924040245091434,0.5309425766853333,0.6012461533214348,1.5284524256682364,15,0.01879386863994681
0.0,0.0,0.25,alpha,within,2.0038312833106642e-05,0.23577837166845145,-0.11700066172081841,0.27319305156106216,2.0038312833106642e-05,0.11701072065807003,0.41446494690517527,0.6611432359994434,9.584146536523336,9.735669244078061e-05,0.9999140340543581,255,0.0032786196348594254
